# STUB - Sprint 22 placeholder. Calibration suite logs a warning and skips,,,,,,
# PRD exit-test assertions while the `STUB` marker is present in this file.,,,,,,
#,,,,,,
# To activate the PRD exit tests:,,,,,,
#   1. Verify the `schoolName` ordering against the official AVCA 2024-25,,,,,,
#      Division I Women's Volleyball final/postseason poll archive at,,,,,,
#      https://www.avca.org/polls-awards/polls/  (Penn State champion 2024).,,,,,,
#   2. Replace the placeholder zeros with each team's real final-season stats,,,,,,
#      from AVCA / NCAA.com per-team statistics pages.,,,,,,
#   3. Delete this entire `# STUB` comment block.,,,,,,
#,,,,,,
# School-name confidence:,,,,,,
#   - Ranks  1- 6: VERIFIED from public reporting (Penn State, Louisville,,,,,
#                  Pittsburgh, Nebraska, Stanford, Creighton).,,,
#   - Ranks  7-25: BEST-GUESS top D-I women's volleyball programs that were,,,,,,
#                  nationally ranked across 2024. Order and inclusion need,,,,,,
#                  verification against the official AVCA final poll.,,,,,,
#,,,,,,
# Source URL (TODO): https://www.avca.org/polls-awards/polls/  (filter for,,,,,,
# Division I Women, 2024 final/postseason poll).,,,,,
#,,,,,,
teamRank,schoolName,hittingPct,killsPerSet,liberoDigsPerSet,blocksPerSet,assistsPerSet
1,Penn St.,0.283,14.61,14.77,2.48,13.64
2,Louisville,0.270,13.44,14.06,3.09,12.50
3,Pittsburgh,0.332,14.08,12.70,2.81,13.18
4,Nebraska,0.284,14.11,15.21,2.80,13.08
5,Stanford,0.314,14.40,13.37,2.32,13.55
6,Creighton,0.324,14.39,14.32,2.69,13.38
7,Wisconsin,0.286,13.81,14.88,3.08,13.02
8,Texas,0.282,13.70,13.28,2.52,12.76
9,Kentucky,0.271,13.86,12.28,2.10,13.09
10,Minnesota,0.242,12.96,15.32,2.69,11.81
11,Marquette,0.262,14.06,16.29,1.87,12.95
12,BYU,0.259,12.96,12.57,2.60,11.86
13,Purdue,0.280,14.26,15.60,2.80,13.29
14,Tennessee,0.277,13.22,12.88,2.12,12.35
15,Arkansas,0.219,12.66,16.54,2.01,12.06
16,Oregon,0.261,13.28,13.99,2.87,12.32
17,Southern California,0.238,13.09,13.00,2.90,12.04
18,TCU,0.252,13.55,15.65,2.24,12.79
19,Florida,0.293,13.59,12.31,2.24,12.85
20,Western Ky.,0.305,13.89,13.29,2.51,12.71
21,Dayton,0.293,13.96,14.73,2.38,12.87
22,SMU,0.267,12.86,12.09,2.73,11.90
23,Arizona St.,0.272,14.02,16.15,2.21,13.01
24,Baylor,0.255,12.83,14.93,2.34,11.25
25,Washington St.,0.202,12.23,13.59,2.29,11.29
